============================================================
   PITCH RESOURCE GANTT LOG — Thread activity over time
============================================================
Time (us)     Role          Player                    Event
131853        STRIKER       Suryakumar Yadav          RUN_END
133038        NON_STRIKER   Axar Patel                RUN_END
133240        BOWLER        Mohammad Wasim Jr.        BOWL_START
133250        BOWLER        Mohammad Wasim Jr.        BOWL_END
133256        STRIKER       Suryakumar Yadav          BAT_START
133279        STRIKER       Suryakumar Yadav          BAT_END
133282        STRIKER       Suryakumar Yadav          RUN_START
133283        FIELDER       Shadab Khan               CATCH
133312        NON_STRIKER   Axar Patel                RUN_START
135151        NON_STRIKER   Axar Patel                RUN_END
135256        STRIKER       Suryakumar Yadav          RUN_END
135394        BOWLER        Mohammad Wasim Jr.        BOWL_START
135398        BOWLER        Mohammad Wasim Jr.        BOWL_END
135402        STRIKER       Axar Patel                BAT_START
135417        STRIKER       Axar Patel                BAT_END
135419        STRIKER       Axar Patel                RUN_START
135419        FIELDER       Shaheen Afridi            CATCH
135491        NON_STRIKER   Suryakumar Yadav          RUN_START
137807        STRIKER       Axar Patel                RUN_END
138341        NON_STRIKER   Suryakumar Yadav          RUN_END
138502        BOWLER        Mohammad Wasim Jr.        BOWL_START
138504        BOWLER        Mohammad Wasim Jr.        BOWL_END
138514        STRIKER       Axar Patel                BAT_START
138520        STRIKER       Axar Patel                BAT_END
138522        STRIKER       Axar Patel                RUN_START
138524        FIELDER       Naseem Shah               CATCH
138540        NON_STRIKER   Suryakumar Yadav          RUN_START
140168        STRIKER       Axar Patel                RUN_END
140275        NON_STRIKER   Suryakumar Yadav          RUN_END
140424        BOWLER        Mohammad Wasim Jr.        BOWL_START
140434        BOWLER        Mohammad Wasim Jr.        BOWL_END
140437        STRIKER       Axar Patel                BAT_START
140449        STRIKER       Axar Patel                BAT_END
140450        FIELDER       Shaheen Afridi            CATCH
140450        STRIKER       Axar Patel                RUN_START
140459        NON_STRIKER   Suryakumar Yadav          RUN_START
142041        STRIKER       Axar Patel                RUN_END
142733        NON_STRIKER   Suryakumar Yadav          RUN_END
142903        BOWLER        Mohammad Wasim Jr.        BOWL_START
142910        BOWLER        Mohammad Wasim Jr.        BOWL_END
142916        STRIKER       Axar Patel                BAT_START
142923        STRIKER       Axar Patel                BAT_END
142924        STRIKER       Axar Patel                RUN_START
142925        FIELDER       Shaheen Afridi            CATCH
142938        NON_STRIKER   Suryakumar Yadav          RUN_START
145158        NON_STRIKER   Suryakumar Yadav          RUN_END
145332        STRIKER       Axar Patel                RUN_END
145526        BOWLER        Shaheen Afridi            BOWL_START
145534        BOWLER        Shaheen Afridi            BOWL_END
145538        STRIKER       Suryakumar Yadav          BAT_START
145545        STRIKER       Suryakumar Yadav          BAT_END
145547        STRIKER       Suryakumar Yadav          RUN_START
145548        FIELDER       Shadab Khan               CATCH
145560        NON_STRIKER   Axar Patel                RUN_START
146885        NON_STRIKER   Axar Patel                RUN_END
147825        STRIKER       Suryakumar Yadav          RUN_END
147994        BOWLER        Shaheen Afridi            BOWL_START
148003        BOWLER        Shaheen Afridi            BOWL_END
148016        STRIKER       Axar Patel                BAT_START
148042        STRIKER       Axar Patel                BAT_END
148045        STRIKER       Axar Patel                RUN_START
148046        FIELDER       Azam Khan                 CATCH
148112        NON_STRIKER   Suryakumar Yadav          RUN_START
150029        NON_STRIKER   Suryakumar Yadav          RUN_END
151117        STRIKER       Axar Patel                RUN_END
151318        BOWLER        Shaheen Afridi            BOWL_START
151327        BOWLER        Shaheen Afridi            BOWL_END
151332        STRIKER       Suryakumar Yadav          BAT_START
151349        STRIKER       Suryakumar Yadav          BAT_END
151352        STRIKER       Suryakumar Yadav          RUN_START
151352        FIELDER       Babar Azam                CATCH
151367        NON_STRIKER   Axar Patel                RUN_START
153289        NON_STRIKER   Axar Patel                RUN_END
153781        STRIKER       Suryakumar Yadav          RUN_END
154233        BOWLER        Shaheen Afridi            BOWL_START
154243        BOWLER        Shaheen Afridi            BOWL_END
154249        STRIKER       Axar Patel                BAT_START
154310        STRIKER       Axar Patel                BAT_END
154312        STRIKER       Axar Patel                RUN_START
154313        FIELDER       Mohammad Rizwan           CATCH
154329        NON_STRIKER   Suryakumar Yadav          RUN_START
155399        NON_STRIKER   Suryakumar Yadav          RUN_END
157219        STRIKER       Axar Patel                RUN_END
157429        BOWLER        Shaheen Afridi            BOWL_START
157437        BOWLER        Shaheen Afridi            BOWL_END
157443        STRIKER       Axar Patel                BAT_START
157462        STRIKER       Axar Patel                BAT_END
157463        STRIKER       Axar Patel                RUN_START
157468        FIELDER       Fakhar Zaman              CATCH
